no,tema,nama_&_nomor_surat/doa,bacaan_arab,bacaan_latin,terjemahan,bacaan_untuk_apa,rujukan_bacaan_dari,sumber_refrensi
1.0,Rezeki,QS. Al-Isra (17): 31,وَلَا تَقْتُلُوا أَوْلَـٰدَكُمۡ خَشْيَةَ إِمۡلَـٰقٍۖ نَّحۡنُ نَرْزُقُهُمْ وَإِيَّاكُمۡۚ,Wa lā taqtulū awlādakum khasyyata imlāq. Naḥnu narzuquhum wa iyyākum,"""Janganlah kamu membunuh anak-anakmu karena takut miskin. Kamilah yang memberi rezeki kepada mereka dan juga kepadamu.""","Menumbuhkan keyakinan bahwa Allah menjamin rezeki bagi anak-anak dan orang tua, terutama dalam kondisi sulit atau kekhawatiran ekonomi.",Ustadz Khalid Basalamah,https://www.agamaislam.com/jangan-khawatir-dengan-rezekimu/
1.0,Rezeki,QS. Al-Ma’idah (5): 114,قَالَ عِيسَى ٱبْنُ مَرْيَمَ ٱللَّهُمَّ رَبَّنَآ أَنزِلْ عَلَيْنَا مَآئِدَةً مِّنَ ٱلسَّمَآءِ تَكُونُ لَنَا عِيدًا لِّأَوَّلِنَا وَءَاخِرِنَا وَءَايَةً مِّنكَ ۖ وَٱرْزُقْنَا وَأَنتَ خَيْرُ ٱلرَّٰزِقِينَ,Qāla ‘īsā ibn maryama allāhumma rabbanā anzil ‘alaynā mā’idatan mina as-samā’i takūnu lanā ‘īdan li-awwalinā wa ākhirinā wa āyatan minka warzuqnā wa anta khayru ar-rāziqīn,"sa putra Maryam berdoa: ""Ya Tuhan kami, turunkanlah kepada kami suatu hidangan dari langit yang (hari turunnya) akan menjadi hari raya bagi kami, yaitu bagi orang-orang yang bersama kami dan yang datang sesudah kami, dan menjadi tanda bagi kekuasaan Engkau; berilah kami rezeki, dan Engkaulah pemberi rezeki yang paling utama.""","Doa ini memohon kepada Allah agar diberikan rezeki yang berlimpah dan berkah, yang menjadi sumber kebahagiaan dan perayaan bagi diri sendiri dan keluarga.",Ustadz Abdul Somad,https://iqra.republika.co.id/berita/rszbup320/doa-mohon-rezeki-yang-pernah-dibaca-nabi-isa-dan-diabadikan-dalam-alquran
1.0,Rezeki,QS. Al-Baqarah (2):201,وَمِنْهُمْ مَنْ يَقُولُ رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,"Wa minhum man yaqūlu Rabbanā ātinā fid-dunyā ḥasanah, wa fil-ākhirati ḥasanah, wa qinā ‘adhāban-nār.","“Ya Tuhan kami, berilah kami kebaikan di dunia dan kebaikan di akhirat, serta lindungilah kami dari siksa neraka.”","Doa lengkap untuk rezeki, keselamatan dunia-akhirat. Sangat dianjurkan oleh Rasulullah ﷺ dibaca setiap hari.",Rasulullah ﷺ (HR. Bukhari & Muslim),https://tafsirweb.com/727-surat-al-baqarah-ayat-201.html
1.0,Rezeki,QS. Hūd (11): 6,وَمَا مِن دَابَّةٍۢ فِى ٱلْأَرْضِ إِلَّا عَلَى ٱللَّهِ رِزْقُهَا وَيَعْلَمُ مُسْتَقَرَّهَا وَمُسْتَوْدَعَهَا ۚ كُلٌّۭ فِى كِتَٰبٍۢ مُّبِينٍۢ,"Wa mā min dābbatin fī al-arḍi illā ‘alallāhi rizquhā, wa ya‘lamu mustaqarrahā wa mustawda‘ahā, kullun fī kitābin mubīn.","“Dan tidak ada satu makhluk melata pun di bumi melainkan Allah-lah yang memberi rezekinya, dan Dia mengetahui tempat menetap dan tempat penyimpanannya…”",Ayat motivasi bahwa Allah menjamin rezeki setiap makhluk—penguat tawakal & syukur dalam usaha.,"Ulama tafsir: Quraish Shihab, Wahbah az-Zuhailī",https://news.detik.com/berita/d-5573518/apa-maksud-dari-surat-hud-ayat-6-ini-jawaban-lengkapnya
1.0,Rezeki,QS. Ibrahim (14): 37,رَبَّنَا إِنِّىٓ أَسْكَنْتُ مِن ذُرِّيَّتِى بِوَادٍ غَيْرِ ذِى زَرْعٍ عِندَ بَيْتِكَ ٱلْمُحَرَّمِ رَبَّنَا لِيُقِيمُوا۟ ٱلصَّلَوٰةَ فَٱجْعَلْ أَفْـِٔدَةًۭ مِّنَ ٱلنَّاسِ تَهْوِىٓ إِلَيْهِمْ وَٱرْزُقْهُم مِّنَ ٱلثَّمَرَٰتِ لَعَلَّهُمْ يَشْكُرُونَ,"Rabbanā innī askantu min dhurriyyatī biwādin ghayri dhī zar‘in ‘inda baytika al-muḥarram, rabbanā liyuqīmū aṣ-ṣalāh, faj‘al af’idatan mina an-nāsi tahwī ilayhim, warzuqhum mina aṡ-tsamarāti la‘allahum yasykurūn","“Ya Tuhan kami, sesungguhnya aku telah menempatkan sebagian keturunanku di lembah yang tidak memiliki tanam-tanaman di dekat rumah-Mu (Baitullah)… Maka jadikanlah hati manusia cenderung kepada mereka dan berilah mereka rezeki dari buah-buahan agar mereka bersyukur.”",Doa Nabi Ibrahim memohon rezeki untuk keturunan di tanah suci bisa diamalkan untuk keluarga.,Nabi Ibrahim عليه السلام,https://tafsirweb.com/4083-surat-ibrahim-ayat-37.html?
1.0,Rezeki,QS. Al-Jumu’ah (62):10,فَإِذَا قُضِيَتِ الصَّلَاةُ فَانتَشِرُوا فِي الْأَرْضِ وَابْتَغُوا مِن فَضْلِ اللَّهِ وَاذْكُرُوا اللَّهَكَثِيرًا لَعَلَّكُمْ تُفْلِحُونَ,Fa-idzā quḍiyatāṣ-ṣalātu fantashirū fil-arḍi wabtaghū min faḍlillāh wa-udhkurū llāha kathīran la‘allakum tufliḥūn,"“Apabila salat telah selesai, maka bertebaranlah di bumi, cari karunia Allah, dan ingatlah Dia banyak agar kamu beruntung.”","Memohon rezeki setelah ibadah, sekaligus agar pekerjaan diberkahi.",Rasulullah ﷺ,https://myislam.org/surah-jumuah/ayat-10/
1.0,Rezeki,QS. Al-Mu’minun (23):18–19,وَأَنزَلْنَا مِنَ السَّمَاءِ مَاءً بِقَدَرٍۢ فَأَسْكَنَّـٰهُ فِي الْأَرْضِ... فَأَنتَشَرُوا فِيهِ أَنْهَارًا وَكُلُوا مِنْ ثَمَرِهِ وَآتُوا حَقَّهُ يَوْمَ حَصَادِهِ,"Wa anzalnā mina as-samā’i mā’an biqadar, fa askannāhu fil-ard; fa ansya’nā lakum bihī jannātin... kulū min thamarihi wa ātu ḥaqqahu yawma ḥaṣādihi","“Dan Kami turunkan air dari langit, lalu Kami tanam kebun-kebun untukmu... makanlah buahnya dan tunaikan haknya di hari panen.”","Memohon agar Allah memberi rezeki melalui hasil bumi, sekaligus ingat kewajiban zakat/sedekah.",Ulama fiqih zakat & tafsir Syaikh As-Sa’di,https://tafsirq.com/23-al-muminun/ayat-18
1.0,Rezeki,Doa Rezeki Halal & Cukup,اللَّهُمَّ اكْفِنِي بِحَلاَلِكَ عَنْ حَرَامِكَ وَأَغْنِنِي بِفَضْلِكَ عَمَّن سِوَاكَ,Allāhumma ikfinī biḥalālika ‘an ḥarāmika wa aghninī bi-faḍlika ‘amman siwāka,"“Ya Allah, cukupkanlah aku dengan rezeki halal-Mu, jauhkan aku dari rezeki haram, dan kayakanlah aku dengan karunia-Mu sehingga aku tak bergantung pada selain-Mu.”","Memohon rezeki yang cukup, halal, berkah, dan bebas dari ketergantungan pada orang lain","Nabi Muhammad ﷺ (HR. at‑Tirmidzi, hasan gharib)",https://pwmu.co/135702/03/06/doa-dan-amalan-pembuka-pintu-rezeki/
1.0,Rezeki,Doa Rezeki Lancar & Ridha,بِسْمِ اللَّهِ عَلَى نَفْسِي وَمَالِي وَدِينِي، اللَّهُمَّ رَضِّنِي بِقَضَائِكَ، وَبَارِكْ لِي فِيمَا قُدِّرَ لِي، حَتَّى لاَ أُحِبَّ تَعْجِيلَ مَا أَخَّرْتَ، وَلاَ تَأْخِيرَ مَا عَجَّلْتَ.,"Bismillāhi ‘alā nafsī wa mālī wa dīnī, Allāhumma raḍḍinī bi-qaḍā’ika, wa bārik lī fīmā quddira lī, ḥattā lā uḥibba ta‘jīla mā akhkhar-ta, wa lā ta’khīra mā ‘ajjalt(a).","“Dengan nama Allah atas diriku, hartaku, dan agamaku; Ya Allah, jadikanlah aku ridha terhadap ketetapan-Mu, dan berkahilah aku dalam apa yang telah Engkau takdirkan kepadaku, supaya aku tidak ingin mempercepat apa yang Engkau tunda, atau menunda apa yang Engkau percepat.”","Memohon kelancaran rezeki, sikap ridha, taufik dan berkat dalam keputusan Allah",Nabi Muhammad ﷺ (HR. Ibnu Sunni; diajarkan kepada Ibnu Umar),https://www.kompas.tv/religi/269068/bacaan-doa-nabi-muhammad-dibaca-agar-rezeki-tidak-seret
1.0,Rezeki,"Doa Pembuka Rezeki – Ilmu, Rizki Halal, Amal Diterima",اللَّهُمَّ إِنِّي أَسْأَلُكَ عِلْمًا نَافِعًا وَرِزْقًا طَيِّبًا وَعَمَلًا مُتَقَبَّلًا,Allāhumma innī as’aluka ‘ilman nāfi‘an wa rizqan ṭayyiban wa ‘amalan mutaqabbalan.,"“Ya Allah, sesungguhnya aku memohon pada-Mu ilmu yang bermanfaat, rezeki yang baik, dan amal yang diterima.”","Memohon agar rezeki lancar dan halal, disertai ilmu bermanfaat dan amal yang diberkahi.",Nabi Muhammad ﷺ diriwayatkan oleh Ibnu Majah dan Imam Ahmad,https://www.liputan6.com/islami/read/5252255/doa-pembuka-rezeki-sesuai-ajaran-rasulullah-bisa-diamalkan-tiap-pagi?
